ExpenseID,OrderDate,ExpenseType,ExpenseSource,Amount
1,2023-01-03T00:00:00.0000000,entertainment,HolidayCorp,501.32
2,2023-01-03T00:00:00.0000000,supplies,BottleCorp,11281.65
3,2023-01-03T00:00:00.0000000,supplies,PillCorp,25643.29
4,2023-01-27T00:00:00.0000000,travel,PlaneCorp,338.41
5,2023-02-06T00:00:00.0000000,meals,PizzaCorp,124.53
6,2023-02-14T00:00:00.0000000,entertainment,HolidayCorp,314.56
7,2023-03-07T00:00:00.0000000,supplies,AppsCorp,2499.99
8,2023-04-01T00:00:00.0000000,entertainment,HolidayCorp,259.82
9,2023-04-01T00:00:00.0000000,supplies,BottleCorp,10588.93
10,2023-04-01T00:00:00.0000000,supplies,PillCorp,25135.93
11,2023-04-01T00:00:00.0000000,lease,LeaseCorp,60112.51
12,2023-05-09T00:00:00.0000000,travel,PlaneCorp,289.73
13,2023-05-22T00:00:00.0000000,maintenance,HelpCorp,4591.43
14,2023-05-24T00:00:00.0000000,supplies,AmazonCorp,600.67
15,2023-05-28T00:00:00.0000000,travel,TrainCorp,160.80
16,2023-06-08T00:00:00.0000000,marketing,AdCorp,3000.89
17,2023-07-01T00:00:00.0000000,supplies,BottleCorp,7058.90
18,2023-07-01T00:00:00.0000000,maintenance,CleanCorp,1500.00
19,2023-07-03T00:00:00.0000000,meals,CateringCorp,250.00
20,2023-07-20T00:00:00.0000000,travel,PlaneCorp,400.37
21,2023-07-26T00:00:00.0000000,marketing,AdCorp,9970.80
22,2023-08-01T00:00:00.0000000,supplies,PillCorp,22193.23
23,2023-08-23T00:00:00.0000000,supplies,OfficeCorp,85.00
24,2023-08-27T00:00:00.0000000,travel,PlaneCorp,312.45
25,2023-09-05T00:00:00.0000000,meals,PizzaCorp,76.92
26,2023-10-01T00:00:00.0000000,supplies,BottleCorp,12908.02
27,2023-10-01T00:00:00.0000000,supplies,PillCorp,28982.77
28,2023-10-31T00:00:00.0000000,entertainment,HoldayCorp,587.31
29,2023-11-22T00:00:00.0000000,meals,TurkeyCorp,231.23
30,2023-12-23T00:00:00.0000000,entertainment,HolidayCorp,422.57
